C14ID,Period,C14Age,C14SD,LabCode,PhaseCode,SiteID,Material,MaterialSpecies,RectID
1000,LN,5397,25,KIA-27198,HENE1,S2220,charcoal,NULL,2178
1006,EN,6850,65,Ly-7607,PORH,S3350,NULL,NULL,2994
1008,EN,6745,70,Ly-245 (OxA),PORH,S3350,NULL,NULL,2994
1009,UM,6740,60,OxA-6665,NULL,S1953,human bone,Homo sapiens,2430
1013,EN,6515,65,OxA-6704,NULL,S1953,human bone,Homo sapiens,2430
1014,LM,6510,50,OxA-6664,NULL,S1953,human bone,Homo sapiens,2430
1015,UM,6500,65,OxA-6703,NULL,S1953,human bone,Homo sapiens,2430
1016,UM,6440,55,OxA-6663,NULL,S1953,human bone,Homo sapiens,2430
1018,UM,6280,60,OxA-6706,NULL,S1953,human bone,Homo sapiens,2430
1020,EN,6200,190,Ly-1735,MV,S2973,bone,NULL,2167
1022,EN,6110,140,Ly-2324,MV,S2973,bone,NULL,2167
1023,UM,6080,60,OxA-6707,NULL,S1953,human bone,Homo sapiens,2430
1025,EN,6030,130,Ly-2327,BBM1,S1285,bone,NULL,2167
1026,UM,6000,60,OxA-6701,NULL,S1953,human bone,Homo sapiens,2430
1028,NULL,5940,140,GIF-36C,NULL,S3550,NULL,NULL,2784
1029,EN,5940,140,Ly-865,REI1,S3450,tar,NULL,2244
1031,EN,5860,190,Ly-2323,MV,S2973,bone,NULL,2167
1033,UM,5755,55,OxA-6710,NULL,S1953,human bone,Homo sapiens,2430
1034,UM,5680,50,OxA-6662,NULL,S1953,human bone,Homo sapiens,2430
1036,MN,5530,150,Ly-2455,COUR,S1216,NULL,NULL,2235
1037,MN,5490,140,Ly-335,GT2,S2567,charcoal,NULL,2448
1039,EN,5320,120,GIF-5165,MNTD1,S3023,NULL,NULL,2380
1041,MN,5260,55,Ly-8252,VTOL,S4154,NULL,NULL,2921
1042,MN,5175,135,GIF-2342,VITTX1,S4162,charcoal,NULL,2444
1043,EMN,5140,140,GIF-2634,ORLA1,S3162,charcoal,NULL,2450
1044,UM,5080,55,OxA-6705,NULL,S1953,human bone,Homo sapiens,2430
1045,MN,5060,45,Ly-8253,VTOL,S4154,NULL,NULL,2921
1046,NULL,5000,170,MC-781,NULL,S4703,NULL,NULL,3061
1047,MN,4880,135,GIF-2341,VITTX1,S4162,charcoal,NULL,2444
1048,NULL,4870,110,Ly-866,NULL,S4131,charcoal,NULL,2244
1049,MN,4700,135,GIF-2343,VITTX1,S4162,charcoal,NULL,2444
1050,NULL,4540,120,Ly-908,NULL,S1529,charcoal,NULL,2722
1051,LN,4500,60,GrN-4675,VID2,S4143,charcoal,NULL,2302
1052,LN,4500,50,GrN-4676,VID2,S4143,charcoal,NULL,2302
1053,LN,4360,130,Ly-794,CHRV2,S1529,charcoal,NULL,2722
1054,LN,4230,130,Ly-907,CHRV2,S1529,charcoal,NULL,2722
1055,LN,4190,150,Ly-792,CHRV2,S1529,charcoal,NULL,2722
1056,NULL,4170,70,Ly-285,NULL,S3847,charcoal,NULL,2239
1057,NULL,4160,120,MC-779,NULL,S4703,NULL,NULL,3061
1058,LN,4150,180,Ly-20,SAML,S3626,wood,NULL,2654
1059,LN,4100,120,Ly-906,CHRV2,S1529,charcoal,NULL,2722
1060,LN,4070,140,Ly-851,CLAX1,S1557,wood,NULL,2516
1061,LN,4060,120,Ly-190,AIXLB1,S1045,wood,NULL,2654
1062,NULL,4060,50,MC-573,NULL,S3847,charcoal,NULL,2239
1063,LN,3880,110,GIF-2299,CLAX2,S1557,NULL,NULL,2516
1064,LN,3750,150,GSY-114,MSO1,S2976,charcoal,NULL,2236
1065,LN,3750,120,GIF-1528,OUXSS1,S3232,bone,NULL,2514
1066,UM,7900,80,UtC-2320,NULL,S3698,organic temper,NULL,2111
1067,UM,7730,120,UtC-1840,NULL,S2409,organic temper,NULL,2250
1068,UM,7600,80,UtC-2322,NULL,S3698,organic temper,NULL,2111
1074,LMEN,6620,70,UtC-2323,NULL,S3698,organic temper,NULL,2111
1075,EN,6580,20,Hd-14219,SFX,S3698,human bone,Homo sapiens,2111
1076,EN,6558,75,Bln-1429,ES,S1798,charcoal,NULL,1768
1077,EN,6550,270,KN-2127,NM3,S3120,charcoal,NULL,1965
1078,NULL,6550,90,OxA-2921,NULL,S3870,human bone,Homo sapiens,1762
1079,EN,6530,180,H-1534/1027,GN,S2052,charcoal,NULL,1834
1080,EN,6510,120,KN-3046,SFX,S3698,charcoal,NULL,2111
1081,EN,6460,80,UtC-2344,EG,S1835,food residue,NULL,2250
1082,EN,6422,100,H-919/889,DUDE1,S1754,charcoal,NULL,1835
1083,EN,6412,80,H-924b/1121,MUE,S3064,charcoal,NULL,1966
1084,EN,6390,160,KN-2295,GERL1,S2003,charcoal,NULL,2247
1085,EN,6380,80,OxA-1539,SFX,S3698,plant macrofossils,Triticum sp.,2111
1086,EN,6350,80,UtC-2340,SFX,S3698,food residue,NULL,2111
1087,EN,6350,70,Hv-586,RF,S3534,charcoal,NULL,1834
1088,EN,6340,70,UtC-1833,ET2,S1803,organic temper,NULL,1767
1089,EN,6332,75,H-2117/1536,RODN2,S3524,charcoal,NULL,1966
1090,EN,6320,90,UtC-2325,EG,S1835,food residue,NULL,2250
1091,EN,6320,70,KN-1369,KOLN1,S2421,charcoal,NULL,1966
1093,EN,6280,185,KN-2285,NM3,S3120,charcoal,NULL,1965
1094,EN,6250,70,KN-2128,NM3,S3120,charcoal,NULL,1965
1095,EN,6250,65,GrN-7011,ZILG1,S4281,charcoal,NULL,2043
1096,EN,6232,90,H-924a/1393,MUE,S3064,charcoal,NULL,1966
1097,EN,6230,90,ETH-9548,ROTG1,S3546,bone,NULL,2315
1098,EN,6230,70,UtC-7179,FRIM1,S1964,organic temper,Bromus sp.,1897
1099,EN,6225,45,GrN-7010,ZILG1,S4281,charcoal,NULL,2043
1100,EN,6220,45,Hd-7978,SUT,S4146,human bone,Homo sapiens,2247
1101,EN,6210,60,KN-2124,NM3,S3120,charcoal,NULL,1965
1102,EN,6210,50,KN-I.6,MUE,S3064,charcoal,NULL,1966
1103,EN,6210,45,Hd-7979,SUT,S4146,human bone,Homo sapiens,2247
1106,EN,6190,100,KN-2284,NM3,S3120,charcoal,NULL,1965
1107,EN,6190,90,KN-2371,NM3,S3120,charcoal,NULL,1965
1108,EN,6190,90,OxA-1627,ES,S1798,bone,NULL,1768
1109,EN,6190,80,OxA-1538,WA,S4191,plant macrofossils,Cereals,2321
1110,EN,6190,65,KN-1530,NM3,S3120,charcoal,NULL,1965
1111,EN,6190,60,UtC-7222,FRIM1,S1964,organic temper,NULL,1897
1112,EN,6190,45,Hd-7995,SUT,S4146,human bone,Homo sapiens,2247
1113,EN,6180,120,KN-2286,NM3,S3120,charcoal,NULL,1965
1114,EN,6180,70,UtC-7180,FRIM1,S1964,organic temper,NULL,1897
1115,EN,6180,50,KN-1594,NM,S3119,charcoal,NULL,1965
1116,EN,6170,90,OxA-1537,WA,S4191,plant macrofossils,Cereals,2321
1117,EN,6155,45,GrN-7156,HM1,S2230,NULL,NULL,2252
1118,EN,6140,100,Hd-7950,SUT,S4146,human bone,Homo sapiens,2247
1119,EN,6140,90,OxA-1624,ES,S1798,bone,NULL,1768
1120,EN,6135,90,Hd-7980,SUT,S4146,human bone,Homo sapiens,2247
1121,EN,6130,45,Hd-7977,SUT,S4146,human bone,Homo sapiens,2247
1122,EN,6125,35,GrN-5870,HM1,S2230,charred plant macrofossils,NULL,2252
1123,EN,6100,70,Hd-8031,SUT,S4146,human bone,Homo sapiens,2247
1124,EN,6100,60,Hd-7993,SUT,S4146,human bone,Homo sapiens,2247
1125,EN,6090,50,Hd-7918,SUT,S4146,human bone,Homo sapiens,2247
1126,EN,6070,100,OxA-1626,ES,S1798,bone,NULL,1768
1127,EN,6070,95,KN-1531,NM3,S3120,charcoal,NULL,1965
1128,EN,6070,40,Hd-8152,SUT,S4146,human bone,Homo sapiens,2247
1129,EN,6060,70,ETH-9549,ROTG1,S3546,bone,NULL,2315
1130,EN,6050,60,Hd-7994,SUT,S4146,human bone,Homo sapiens,2247
1131,EN,6040,60,Bln-2522,ES,S1798,charcoal,NULL,1768
1132,EN,6040,60,Hd-8087,SUT,S4146,human bone,Homo sapiens,2247
1133,EN,6040,50,Hd-7920,SUT,S4146,human bone,Homo sapiens,2247
1134,EN,6030,110,Gro-265,WITTL1,S4239,charcoal,NULL,2249
1135,EN,6030,100,OxA-1625,ES,S1798,bone,NULL,1768
1136,EN,6030,70,UtC-1831,ET2,S1803,organic temper,NULL,1767
1137,EN,6010,50,Hd-7963,SUT,S4146,human bone,Homo sapiens,2247
1138,EN,6000,55,Hd-8096,SUT,S4146,human bone,Homo sapiens,2247
1139,EN,5990,60,Hd-8097,SUT,S4146,human bone,Homo sapiens,2247
1140,EN,5990,40,Hd-7949,SUT,S4146,human bone,Homo sapiens,2247
1141,EN,5970,70,Hd-8099,SUT,S4146,human bone,Homo sapiens,2247
1142,MN,5969,59,Erl-4092,ELB1,S1816,bone,NULL,1769
1143,EN,5962,230,H-1748/1207,BOC1,S1322,charcoal,NULL,1898
1144,EN,5950,60,Hd-7974,SUT,S4146,human bone,Homo sapiens,2247
1145,MN,5930,65,KN-2992,TITZ1,S2192,charcoal,NULL,1965
1146,EN,5920,70,UtC-2326,ET2,S1803,organic substance,NULL,1767
1147,EN,5910,50,GrN-4830,HM1,S2230,charcoal,NULL,2252
1148,EN,5910,50,Hd-7935,SUT,S4146,human bone,Homo sapiens,2247
1149,EN,5903,60,Bln-1431,ES,S1798,charcoal,NULL,1768
1151,MN,5870,70,Bln-2060,ES3,S1798,charcoal,NULL,1768
1152,MN,5870,60,KN-2651,IND3,S2296,charcoal,NULL,1965
1153,MN,5850,150,KN-2993,TITZ1,S2192,plant macrofossils,Cereals,1965
1154,MN,5840,140,KN-2994,TITZ1,S2192,NULL,NULL,1965
1155,EN,5840,55,KN-2130,KSTR,S2364,NULL,NULL,1965
1156,MN,5840,45,KN-1190,IND1,S2295,charcoal,NULL,1965
1157,EN,5830,130,KN-2125,NM3,S3120,charcoal,NULL,1965
1158,MN,5830,75,KN-2650,IND3,S2296,charcoal,NULL,1965
1159,MN,5830,65,KN-2653,IND3,S2296,charcoal,NULL,1965
1160,MN,5830,60,KN-2995,TITZ1,S2192,plant macrofossils,Cereals,1965
1161,MN,5820,120,KI-583,DEIR1,S1683,NULL,NULL,1831
1162,MN,5820,60,KN-2652,IND3,S2296,charcoal,NULL,1965
1163,MN,5820,55,KN-I.489,ALD4,S1057,charcoal,NULL,1965
1164,EN,5820,45,Hd-14394,SFX,S3698,animal bone,Bos sp.,2111
1165,EN,5805,65,GrN-7116,KSTR,S2364,NULL,NULL,1965
1166,MN,5800,95,KN-1527,IND1,S2295,charcoal,NULL,1965
1167,LM,5791,39,KIA-9500,TIMDR1,S3987,food residue,NULL,1561
1168,MN,5790,50,KN-1330,IND1,S2295,charcoal,NULL,1965
1169,EN,5785,45,Hd-14177,SFX,S3698,animal bone,Bos sp.,2111
1170,MN,5780,85,GrN-4832,HM2,S2230,charcoal,NULL,2252
1171,EN,5770,65,KN-2040,KSTR,S2364,NULL,NULL,1965
1172,MN,5750,75,KN-2112,SCH,S3690,charcoal,NULL,2111
1173,MN,5735,50,Hd-14272,SFX1,S3698,animal bone,Equus sp.,2111
1174,MN,5730,105,KN-2360,SCH,S3690,charcoal,NULL,2111
1175,MN,5720,65,KN-2401,SCH,S3690,charcoal,NULL,2111
1176,MN,5700,50,Bln-4262,FL,S1912,bone,NULL,1636
1177,EN,5690,60,KN-2273,SISU,S3769,charcoal,NULL,1492
1178,MN,5685,95,GrN-6347,KRL1,S2360,charcoal,NULL,2036
1179,EN,5685,75,GrN-5604,RF,S3534,NULL,NULL,1834
1180,EN,5670,65,KN-2129,KSTR,S2364,NULL,NULL,1965
1181,EN,5670,60,Bln-3686,UHYS1,S4068,charcoal,NULL,1912
1182,MN,5660,50,KN-2363,SCH,S3690,charcoal,NULL,2111
1183,MN,5660,40,KN-I.568,SCLM1,S3697,charcoal,NULL,2039
1184,MN,5630,145,KN-2649,IND3,S2296,charcoal,NULL,1965
1185,LN,5625,105,GrN-7632,OSTW1,S3216,charcoal,NULL,1760
1186,LM,5621,29,KIA-8444,TIMDR1,S3987,animal bone,Canis sp.,1561
1187,MN,5620,120,KN-I.379,HOLZ2,S2250,charcoal,NULL,1693
1188,MN,5615,95,Hv-1793,DUMM1,S1757,food residue,NULL,1693
1189,LN,5605,205,Hv-17487,KIES,S3143,charcoal,NULL,1834
1190,LM,5604,29,KIA-8443,TIMDR1,S3987,animal bone,Pinniped,1561
1191,MN,5565,85,Hv-814,DUMM1,S1757,wood,NULL,1693
1192,MN,5560,265,KN-I.142,DUMM1,S1757,wood,NULL,1693
1193,LM,5560,40,KIA-9497,TIMDR1,S3987,food residue,NULL,1561
1194,NULL,5550,51,Bln-4667,CARP1,S1466,charcoal,NULL,1634
1195,LM,5543,43,KIA-9825,TIMDR1,S3987,food residue,NULL,1561
1196,MN,5540,115,KN-I.364,ALD4,S1057,charcoal,NULL,1965
1197,LM,5536,32,KIA-9501,TIMDR1,S3987,food residue,NULL,1561
1198,EN,5520,100,Bln-4221,PRNZ1,S3378,bone,NULL,1635
1199,LN,5505,125,Hv-19715,EINB1,S1801,charcoal,NULL,1834
1200,LN,5500,60,KN-I.413,HENE1,S2220,charcoal,NULL,2178
1201,LN,5540,95,KN-I.664,BERG1,S1274,charcoal,NULL,1966
1202,LN,5480,105,KN-1574,MAYD,S2957,charcoal,NULL,2036
1203,MN,5480,65,KN-I.726,SCH,S3690,charcoal,NULL,2111
1204,MN,5470,85,KN-2361,SCH,S3690,charcoal,NULL,2111
1205,LN,5470,65,KN-1718,MAYD,S2957,charcoal,NULL,2036
1206,LM,5456,37,KIA-9499,TIMDR1,S3987,animal bone,Cervus elaphus,1561
1207,MN,5450,50,KN-I.727,SCH,S3690,charcoal,NULL,2111
1208,LN,5490,85,KN-I.663,BERG1,S1274,charcoal,NULL,1966
1209,MN,5430,80,Hv-317,DUMM1,S1757,wood,NULL,1693
1210,MN,5425,350,Hv-816,DUMM1,S1757,charcoal,NULL,1693
1211,MN,5420,50,Hv-374,DUMM1,S1757,charcoal,NULL,1693
1212,LM,5420,42,KIA-9496,TIMDR1,S3987,food residue,NULL,1561
1213,LN,5400,60,KN-1720,LUW,S2861,charcoal,NULL,2247
1214,LM,5380,30,KIA-8446,TIMDR1,S3987,food residue,NULL,1561
1215,LN,5370,70,KN-I.415,HENE1,S2220,charcoal,NULL,2178
1216,LM,5362,39,KIA-8445,TIMDR1,S3987,food residue,NULL,1561
1217,LN,5350,185,Hv-18876,EINB1,S1801,charcoal,NULL,1834
1218,LN,5350,140,KN-1719,MAYD,S2957,charcoal,NULL,2036
1219,MN,5350,105,KN-2113,SCH,S3690,charcoal,NULL,2111
1220,LN,5340,125,KN-2274,IF1,S2292,charcoal,NULL,2178
1221,LN,5335,125,Fra-67,SCHW1,S3699,wood,NULL,2175
1222,LM,5335,29,KIA-8447,TIMDR1,S3987,food residue,NULL,1561
1223,LM,5323,35,KIA-9498,TIMDR1,S3987,wood,NULL,1561
1224,LN,5310,120,KN-2275,IF1,S2292,charcoal,NULL,2178
1226,LN,5280,140,KN-2276,IF1,S2292,charcoal,NULL,2178
1227,NULL,5280,120,KI-3072,FLNT3,S1915,NULL,NULL,1490
1228,LN,5280,90,Hv-18875,EINB1,S1801,charcoal,NULL,1834
1229,LN,5280,90,KN-1715,MAYD,S2957,charcoal,NULL,2036
1230,LN,5280,85,KN-1573,MAYD,S2957,charcoal,NULL,2036
1231,LN,5270,65,KN-2406,MAYD,S2957,charcoal,NULL,2036
1232,LN,5270,40,KN-I.418,HENE1,S2220,charcoal,NULL,2178
1233,LN,5255,220,Hv-19718,EINB1,S1801,charcoal,NULL,1834
1234,MN,5250,240,Hv-1231,DUMM1,S1757,food residue,NULL,1693
1235,MN,5250,65,KN-I.31,DUMM1,S1757,wood,NULL,1693
1236,LN,5250,60,KN-1722,LUW,S2861,charcoal,NULL,2247
1237,EN,5250,55,KN-2425,SISU,S3769,wood,NULL,1492
1238,LN,5230,90,KN-I.585,HOIN1,S2247,charcoal,NULL,1899
1239,LN,5218,160,Hd-17526,RANSD,S5149,charcoal,"Corylus avellana, Pomoideae, Quercus sp., Fraxinus excelsior, Ulmus sp.",2039
1241,LN,5195,65,GrN-7633,OSTW1,S3216,charcoal,NULL,1760
1242,LN,5190,120,KI-2863,BURG,S1400,charcoal,NULL,2109
1244,EN,5180,65,KN-2267,SISU,S3769,charcoal,NULL,1492
1245,NULL,5180,60,KI-1285,BIS1,S1307,wood,NULL,1419
1246,MN,5175,155,Hv-1230,DUMM1,S1757,charred food residue,NULL,1693
1247,MN,5170,90,Hv-1220,DUMM1,S1757,wood,NULL,1693
1248,EN,5170,70,KN-2271,SISU,S3769,charcoal,NULL,1492
1249,EN,5150,60,KN-2111,SISU,S3769,wood,NULL,1492
1250,MN,5140,190,KN-2114,SCH,S3690,charcoal,NULL,2111
1251,LN,5129,35,Hd-19407,WULF1,S4243,bone,NULL,1838
1252,LN,5105,85,Hv-19716,EINB1,S1801,charcoal,NULL,1834
1254,LN,5105,45,KN-4586,ORN1,S3163,animal bone,Bos primigenius,1832
1255,LN,5090,60,KN-1716,MAYD,S2957,charcoal,NULL,2036
1256,LN,5080,50,KN-I.419,HENE1,S2220,charcoal,NULL,2178
1257,EN,5070,80,KN-2268,SISU,S3769,charcoal,NULL,1492
1258,EN,5060,65,KN-2269,SISU,S3769,charcoal,NULL,1492
1259,NULL,5050,300,KN-4246,ODG1,S3169,charcoal,NULL,1834
1260,LN,5050,85,KN-1724,LUW,S2861,charcoal,NULL,2247
1261,LN,5050,50,KN-3137,RES,S3464,charcoal,NULL,2386
1262,NULL,5040,60,KN-2376,WALF2,S4183,charcoal,NULL,1908
1265,LN,5030,120,KI-2864,BURG,S1400,charcoal,NULL,2109
1266,NULL,5030,70,GrN-11762,HEEK1,S2216,charcoal,NULL,1760
1267,LN,5030,70,UtC-3324,BKL,S1356,animal bone,Bos sp.,1833
1268,LN,5027,39,Hd-17524,RANSD,S5149,charcoal,"Pomoideae, Quercus sp., Salix sp., Acer sp., Corylus avellana, Fraxinus sp.",2039
1269,LN,5018,40,Hd-16266,CAL,S1431,charcoal,Quercus sp.,1902
1270,LN,5010,130,KN-1717,MAYD,S2957,charcoal,NULL,2036
1271,LN,4992,56,Hd-16119,CAL,S1431,charcoal,Quercus sp.,1902
1272,EN,4990,75,KN-2272,SISU,S3769,charcoal,NULL,1492
1273,NULL,4980,60,GrN-11763,HEEK1,S2216,charcoal,NULL,1760
1274,LN,4980,60,Hd-16973,RANSD,S5149,charcoal,"Pomoideae, Acer sp., Fraxinus excelsior, Betula sp., Quercus sp., Prunus sp.",2039
1275,LN,4972,45,Hd-16267,CAL,S1431,charcoal,Quercus sp.,1902
1276,LN,4965,40,GrN-6345,KRL2,S2360,charcoal,NULL,2036
1277,LN,4960,75,KN-3206,RES,S3464,charcoal,NULL,2386
1278,NULL,4957,51,Bln-4625,CARP1,S1466,charcoal,NULL,1634
1279,LN,4950,65,KN-3205,RES,S3464,charcoal,NULL,2386
1280,LN,4945,40,GrN-14785,ERGO,S1842,wood,Quercus sp.,2253
1281,LN,4940,50,UtC-3618,CAL,S1431,animal bone,Equus sp.,1902
